epoch,kappa=1acc,kappa=50acc,kappa=150acc,kappa=175acc,kappa=200acc,kappa=500acc,kappa=1000acc
279,0.2091,0.8616,0.9284,0.93,0.9343,0.9275,0.5532
280,0.2091,0.8611,0.9282,0.9311,0.9319,0.9282,0.5529
281,0.2091,0.8609,0.9289,0.9308,0.9331,0.9291,0.5523
282,0.2091,0.8604,0.9288,0.9292,0.9342,0.9282,0.5539
283,0.2091,0.8613,0.9279,0.9309,0.9337,0.926,0.5529
284,0.2091,0.86,0.9269,0.9304,0.9331,0.9264,0.5545
285,0.2091,0.8581,0.9269,0.9288,0.933,0.9256,0.5526
286,0.2091,0.8594,0.9284,0.931,0.9335,0.9266,0.5541
287,0.2091,0.8586,0.9277,0.9299,0.9346,0.9247,0.553
288,0.2091,0.86,0.9275,0.9316,0.9335,0.9262,0.552
289,0.2091,0.8599,0.927,0.9325,0.9329,0.93,0.5511
290,0.2091,0.8596,0.9274,0.9318,0.9323,0.9299,0.5534
291,0.2091,0.8591,0.9287,0.9315,0.9329,0.9283,0.5532
292,0.2091,0.8577,0.9275,0.933,0.9326,0.9285,0.5517
293,0.2091,0.858,0.9283,0.9319,0.9339,0.9287,0.5526
294,0.2091,0.8598,0.9284,0.9309,0.9331,0.9313,0.5534
295,0.2091,0.8603,0.9262,0.931,0.9339,0.9294,0.5545
296,0.2091,0.8597,0.926,0.9314,0.9338,0.9294,0.5537
297,0.2091,0.8586,0.9274,0.9304,0.933,0.9304,0.5521
298,0.2091,0.8612,0.9273,0.93,0.9342,0.928,0.5525
299,0.2091,0.8605,0.9267,0.9305,0.9324,0.9303,0.5516
300,0.2091,0.8601,0.9255,0.929,0.9316,0.9288,0.5539
301,0.2091,0.8623,0.9258,0.9307,0.9315,0.9312,0.5526
302,0.2091,0.8617,0.9278,0.931,0.9339,0.93,0.554
303,0.2091,0.8621,0.9268,0.9304,0.934,0.9294,0.5533
304,0.2091,0.862,0.9271,0.9309,0.933,0.9287,0.5514
305,0.2091,0.8631,0.9273,0.9299,0.9329,0.9314,0.554
306,0.2091,0.8627,0.928,0.9301,0.9353,0.9317,0.5558
307,0.2091,0.864,0.9263,0.9301,0.9355,0.9301,0.5535
308,0.2091,0.8641,0.9267,0.9302,0.9353,0.9294,0.5551
309,0.2091,0.864,0.9283,0.9297,0.9358,0.929,0.556
310,0.2091,0.8644,0.9307,0.9294,0.9346,0.9285,0.5533
311,0.2091,0.8653,0.9293,0.9294,0.9336,0.9283,0.5542
312,0.2091,0.865,0.9299,0.9288,0.932,0.9308,0.5556
313,0.2091,0.8651,0.9294,0.9302,0.9329,0.933,0.5557
314,0.2091,0.8638,0.9287,0.9304,0.9324,0.9302,0.5553
315,0.2091,0.8643,0.928,0.9303,0.9344,0.9293,0.5556
316,0.2091,0.8643,0.9298,0.9294,0.9332,0.9299,0.5558
317,0.2091,0.8644,0.9293,0.9287,0.9346,0.9323,0.5549
318,0.2091,0.8636,0.9282,0.9284,0.932,0.9287,0.5558
319,0.2091,0.8643,0.9284,0.929,0.9332,0.9299,0.5557
320,0.2091,0.8647,0.9284,0.9288,0.9334,0.9311,0.5558
321,0.2091,0.8641,0.9286,0.929,0.9339,0.9316,0.554
322,0.2091,0.8641,0.9274,0.9286,0.9329,0.9303,0.5559
323,0.2091,0.8648,0.9285,0.9289,0.9335,0.9293,0.5547
324,0.2091,0.8636,0.929,0.9286,0.9339,0.931,0.5551
325,0.2091,0.8638,0.9296,0.9293,0.9332,0.9325,0.5532
326,0.2091,0.8636,0.929,0.9291,0.9335,0.9311,0.5541
327,0.2091,0.8637,0.9286,0.9301,0.9335,0.932,0.5559
328,0.2091,0.864,0.9277,0.9296,0.9341,0.9299,0.5561
329,0.2091,0.8639,0.9281,0.9302,0.9333,0.9317,0.5559
330,0.2091,0.8635,0.9281,0.9299,0.9341,0.9319,0.5554
331,0.2091,0.8637,0.9286,0.9309,0.9329,0.9297,0.5553
332,0.2091,0.8638,0.928,0.9314,0.934,0.9322,0.5564
333,0.2091,0.8629,0.9279,0.9323,0.9327,0.9332,0.5543
334,0.2091,0.863,0.9283,0.9294,0.9343,0.929,0.5538
335,0.2091,0.8636,0.9281,0.9298,0.933,0.9284,0.5532
336,0.2091,0.8639,0.9283,0.93,0.934,0.929,0.5544
337,0.2091,0.8645,0.9301,0.9301,0.9341,0.9319,0.556
338,0.2091,0.8649,0.9295,0.9331,0.9342,0.932,0.5565
339,0.2091,0.8652,0.9299,0.9307,0.933,0.9287,0.5549
340,0.2091,0.8649,0.9305,0.9313,0.933,0.9295,0.5561
341,0.2091,0.8648,0.9285,0.9307,0.9343,0.9302,0.5563
342,0.2091,0.8654,0.9299,0.9308,0.9337,0.9287,0.5564
343,0.2091,0.8642,0.9296,0.9318,0.9336,0.9302,0.5563
344,0.2091,0.8634,0.9284,0.9327,0.9315,0.9307,0.5576
345,0.2091,0.8644,0.9279,0.9321,0.9315,0.9312,0.5578
346,0.2091,0.864,0.9277,0.9315,0.9303,0.9293,0.556
347,0.2091,0.8651,0.9284,0.932,0.9319,0.9291,0.5556
348,0.2091,0.8647,0.9275,0.9321,0.9319,0.931,0.557
349,0.2091,0.8641,0.9282,0.9317,0.9308,0.9283,0.5566
350,0.2091,0.8652,0.9276,0.9331,0.9317,0.9295,0.556
351,0.2091,0.8644,0.9269,0.9321,0.9319,0.9286,0.5567
352,0.2091,0.8644,0.9265,0.9307,0.931,0.9284,0.5555
353,0.2091,0.8639,0.9266,0.9309,0.9329,0.9305,0.556
